,Unnamed: 0,id,Star_name,Distance_x,Mass_x,Radius_x,Star_names,Distance_y,Mass_y,Radius_y,Luminosity
0,0,0,SDSS J000013.54+255418.6�[de],46.1,0.02863764,0.08837618,Sun,0.000015813,1,1,1
1,1,1,2MASS J00040288-6410358,192.0,0.02863764,0.08837618,Sirius,0008.6,2.1,1.71,25.4
2,3,3,2MASS J00242463-0158201,37.7,0.02863764,0.08837618,Alpha Centauri,0004.4,1.1,1.2,2
3,5,5,2MASS J00274197+0503417,236.0,0.02863764,0.08837618,Vega,0025,2.2,2.7,50
4,7,7,2MASSW J0030300-145033,87.2,0.02863764,0.08837618,Rigel,0860,23,78.9,"120,000"
5,8,8,2MASS J00332386-1521309�[de],131.0,0.02863764,0.08837618,Procyon,0011.4,1.5,1.9,7.7
6,9,9,2MASS J00345157+0523050,31.0,0.02863764,0.08837618,Betelgeuse,0640[1],20,950,"60,000"
7,10,10,2MASS 0036+1821,28.6,0.02863764,0.08837618,Achernar,0144,6.7,9.3,"3,000"
8,11,11,2MASSW J0045214+163445,57.0,0.02863764,0.08837618,Hadar,0390,10.5,8.6,"42,000"
9,12,12,WISEP J004701.06+680352.1�[fr],40.0,0.02863764,0.08837618,Altair,0017,1.8,1.8,10.5
10,13,13,2MASS J00501994-3322402�[de],34.0,0.02863764,0.08837618,Acrux,0320,18,8.9,"25,000"
11,15,15,2MASS J00584253-0651239�[de],96.0,0.02863764,0.08837618,Antares,0600,12,680,"75,000"
12,17,17,2MASSI J0103320+193536,70.0,0.02863764,0.08837618,Pollux,0034,1.9,8.8,43
13,18,18,SDSSp J010752.33+004156.1�[de],51.0,0.02863764,0.08837618,Fomalhaut,0025,1.9,1.8,16.6
14,19,19,2MASSI J0117474-340325�[de],163.0,0.02863764,0.08837618,Deneb,"2,600",19,203,"200,000"
15,20,20,2MASS J01415823-4633574�[de],130.0,0.02863764,0.08837618,Mimosa,0350,16,8.4,"34,000"
16,21,21,SDSS J015141.69+124429.6,70.0,0.02863764,0.08837618,Regulus,0077,3.8,3.1,290
17,25,25,SDSS J020742.48+000056.2�[de],111.0,0.02863764,0.08837618,Gacrux,0088,1.5,84,820
18,26,26,2MASS J02103857-3015313,101.0,0.02863764,0.08837618,Bellatrix,0240,8.6,5.8,"9,200"
19,27,27,2MASS J02340093-6442068,155.0,0.02863764,0.08837618,Elnath,0130,5.0,4.2,700
20,28,28,2MASS J02411151-0326587�[de],152.0,0.02863764,0.08837618,Miaplacidus,0110,3.5,6.8,290
21,29,29,2MASS J02431371?2453298,35.0,0.02863764,0.08837618,Alnilam,"2,000",32,42,"380,000"
22,30,30,LP 771-21,53.0,0.02863764,0.08837618,Gamma Velorum,"01,100",9.0,6,"170,000"
23,32,32,2MASS J02535980+3206373,184.0,0.02863764,0.08837618,Alioth,0081,2.9,4.2,110
24,33,33,WISE J0254+0223,24.0,0.02863764,0.08837618,Alnitak,01050,33,20,"120,000"
25,34,34,DEN 0255-4700,16.2,0.02863764,0.08837618,Dubhe,0120,4.25,30,300
26,35,35,2MASS J03185403-3421292�[de],45.0,0.02863764,0.08837618,Mirfak,0590,8.5,68,"5,000"
